team_number,team_name_short,city,region_key,lat,lon,group
16537,LOGICoyote,Lanexa,VA,37.4237573,-76.9010753,6
20690,PCHS Knights,Newport News,VA,37.0914429,-76.5213892,6
15371,O.A.K.S.,Norfolk,VA,36.84479711988041,-76.28603772522253,6
8630,Sparky Jr.,Henrico,VA,37.51335866660518,-77.34585529336789,6
17824,Tiger Byte,Yorktown,VA,37.2378875,-76.5080633,6
3804,Team Snuffleupagus,Richmond,VA,37.53873748307614,-77.43374520897396,6
13804,Powhatan SPEAR,Powhatan,VA,37.5531622,-77.9112655,6
8095,NAnobots,Norfolk,VA,36.844135216475344,-76.28545104294082,6
3116,Robo Warriors,Richmond,VA,37.538289211833074,-77.4340747953731,6
23741,Team Metal Pipe,Towson,MD,39.4018513,-76.6023803,7
23549,MDSA Sailors,Catonsville,MD,39.27282526024216,-76.73259469748088,7
24177,Park Robotics Collective,Pikesville,MD,39.37388662896037,-76.72305234342791,7
2897,Bearly Awake,Owings Mills,MD,39.4041967,-76.7956745,7
607,Dragon Slayers,Ellicot City,MD,39.2673284,-76.7983067,7
2818,G-FORCE,Mc Henry,MD,39.2838802,-76.6567813,7
8582,Heavy Metal,Baltimore,MD,39.29052218433118,-76.60994698277825,7
4234,Engineered Chaos,Aberdeen Proving Ground,MD,39.47023135382615,-76.12669985131596,7
16943,Hounds on 1080p,Baltimore,MD,39.29073666128888,-76.61153300341711,7
18052,Perryville Robotics Gonkies,Perryville,MD,39.5594191,-76.0732254,7
16922,The Queen Bees,Baltimore,MD,39.2912840936452,-76.61125608345715,7
17394,Howard Robotics,Ellicott City,MD,39.266837518611325,-76.79790063660238,7
19069,Ryken Robotics,Baltimore,MD,39.29055272543745,-76.61083310521788,7
15664,G2C2,Brooklandville,MD,39.421386,-76.670242,7
16270,Gaelstrom,Baltimore,MD,39.2911844179656,-76.61036651304681,7
15008,The Eclipse,Pikesville,MD,39.3745035,-76.7227288,7
19876,N-1,Aberdeen,MD,39.5120347,-76.1643289,7
20123,Cryptic,Ellicott City,MD,39.26764119912154,-76.79797225630033,7
20124,Epsilon,Ellicott City,MD,39.26817080533269,-76.79765499096318,7
20343,R.I.P. (Robot in Pieces),Ellicott City,MD,39.26730319661926,-76.79874789340195,7
24220,Ingenuity,Ellicott City,MD,39.26740557054179,-76.79786791325282,7
13270,Electric Slide,Owings Mills,MD,39.40440667873906,-76.79657919618249,7
11500,Too Many Wires,Catonsville,MD,39.2720504,-76.7318456,7
11695,Roboto,Baltimore,MD,39.29143047943731,-76.6114709643259,7
9770,Techtonic,Baltimore,MD,39.29187657138465,-76.61114781955256,7
22006,RoboBlueDoges,Baltimore,MD,39.290281824617935,-76.61036911480096,7
9530,Honey Nut Gearios,Centreville,MD,39.0420588,-76.0674344,7
22554,Bionic Bears,Baltimore,MD,39.29171547983186,-76.61014918559593,7
17476,Mavtronics,Manchester,MD,39.6656092,-76.8781927,7
22742,HCLS ROBOTICS CLUB,Ellicott City,MD,39.26656894415187,-76.79744891107109,7
23456,101 Robomatians,Ellicott City,MD,39.267524030629644,-76.79898518336495,7
7988,Brogrammers,BALTIMORE,MD,39.2908816,-76.610759,7
7265,Gear Grinders,Ellicott City ,MD,39.26723336626094,-76.79846398289912,7
6390,Falcons,Finksburg,MD,39.4928811,-76.8894232,7
13381,Accept All Cookies,Baltimore,MD,39.290538932731586,-76.61138564799539,7
7,Tactical Sheep,Aberdeen Proving Ground,MD,39.4698142,-76.12733056970433,7
